ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	Method
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	164	0.658513312352712	1.88318951192091	2.70020385949632e-05	0.000745861448426298	0.000408915267777576	789	tags=11%, list=6%, signal=10%	COL3A1/MMP2/GEM/COL6A2/TGM2/RHOB/ID2/IL32/TIMP1/FAS/PLOD1/BASP1/SAT1/TNFRSF12A/TPM4/SERPINH1/CD59/PPIB	GSEA
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	189	0.631411206493677	1.81510477368314	3.10775603510958e-05	0.000745861448426298	0.000408915267777576	1258	tags=28%, list=10%, signal=26%	CSF1/CXCL2/GEM/MAFF/TRIB1/BHLHE40/PFKFB3/RHOB/ID2/ICAM1/FOSL2/DUSP4/EGR1/FOS/TNIP2/ZFP36/ATF3/NR4A3/FOSB/SGK1/DUSP1/PNRC1/CDKN1A/SQSTM1/TNF/TUBB2A/NINJ1/BTG2/TAP1/IFIH1/SAT1/NR4A1/PER1/MSC/PPP1R15A/GADD45B/ZC3H12A/PLK2/NAMPT/G0S2/TNFSF9/TNFAIP2/SOCS3/GPR183/SERPINB8/ETS2/GADD45A/CCL4/DNAJB4/FOSL1/TSC22D1/EHD1/EDN1	GSEA
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	129	0.649784651742335	1.80074668843046	0.000314892342923302	0.00408114495815967	0.00223746982355245	1270	tags=21%, list=10%, signal=19%	COL3A1/COL6A2/GSN/TNNI2/NQO1/BHLHE40/MEF2D/PLXNB2/MYL6B/SMTN/PDLIM7/FDPS/CDKN1A/LSP1/MYO1C/APOD/GAA/PRNP/GADD45B/PTP4A3/WWTR1/PC/CNN3/GPX3/CKB/FLII/SGCA	GSEA
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	128	0.645467391098503	1.79148182716463	0.000374232026272943	0.00408114495815967	0.00223746982355245	1176	tags=24%, list=9%, signal=22%	SPR/CXCL2/AQP3/CLTB/RHOB/BAK1/ICAM1/HSPA2/FOS/BSG/ATF3/FOSB/CNP/ATP6V1C1/SQSTM1/BTG2/TAP1/NR4A1/CDK2/UROD/H2AX/CA2/KLHDC3/FEN1/RPN1/SELENOW/E2F5/FURIN/GPX3/GRINA/PSMC3	GSEA
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	97	0.681328431717939	1.83002509218626	0.000425119266474966	0.00408114495815967	0.00223746982355245	1313	tags=38%, list=10%, signal=35%	CSF1/LGALS3BP/IFI44/IFITM3/ISG15/RSAD2/MOV10/USP18/IFI35/MVB12A/WARS1/LY6E/MX1/OASL/SAMD9L/GBP2/IFITM1/CNP/RTP4/IRF7/IFI44L/PLSCR1/HELZ2/IFIT3/STAT2/BST2/TAP1/IFIH1/PARP9/OAS1/TRIM14/CMPK2/DHX58/LAP3/HERC6/IFITM2/IFI27	GSEA
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	169	0.60585004472879	1.73025663107033	0.000710832597339577	0.00568666077871661	0.00311768683043674	1165	tags=25%, list=9%, signal=23%	KDELR3/MAFF/TGM2/P4HA2/BHLHE40/PFKFB3/NDST1/FOSL2/FOS/ZFP36/FOXO3/DDIT4/RORA/HSPA5/ATF3/GRHPR/ANXA2/PRDX5/DUSP1/ILVBL/ERO1A/GALK1/PNRC1/CDKN1A/MT2A/S100A4/PFKP/SLC25A1/GYS1/JMJD6/SLC2A1/GAA/NAGK/NDRG1/PPP1R15A/GPC4/TPI1/TPST2/GAPDH/LDHA/HDLBP/CHST2	GSEA
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	165	0.588224434469315	1.68248608928987	0.00157655053331266	0.0103985097589504	0.00570093736784559	1179	tags=22%, list=9%, signal=21%	KDELR3/BIK/GALE/P4HA2/SPAG4/FUT8/CYB5A/DDIT4/HSPA5/IDH1/STMN1/SLC16A3/PLOD1/ERO1A/GMPPB/GALK1/GUSB/PYGB/CHST12/GOT2/CTH/GMPPA/PFKP/PKM/GYS1/PGAM1/RBCK1/COPB2/DLD/GPC4/NSDHL/TPI1/PC/LDHA/HDLBP/CHST2/TALDO1	GSEA
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	172	0.590198562691093	1.69114072374945	0.00173308495982506	0.0103985097589504	0.00570093736784559	1197	tags=22%, list=9%, signal=20%	CSF1/IL2RB/TNFSF11/DHRS3/MAFF/MYO1E/TGM2/IL10/BHLHE40/RHOB/IFITM3/AHR/RGS16/CD86/RORA/FGL2/GLIPR2/ANXA4/PLSCR1/AHCY/MYO1C/CYFIP1/IL10RA/CA2/RNH1/TNFSF10/CTSZ/NDRG1/PRNP/IFNGR1/GADD45B/CAPG/IRF4/HIPK2/PLAGL1/FURIN/BATF/PLEC	GSEA
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	194	0.571745015888748	1.64721459855985	0.00254121244892488	0.0120564979497841	0.00660992212159216	1328	tags=32%, list=10%, signal=29%	IL2RB/LGALS3BP/IFI44/IFITM3/ISG15/RSAD2/ICAM1/USP18/IFI35/SLAMF7/SAMHD1/WARS1/CD86/FGL2/LY6E/MX1/OASL/FAS/SAMD9L/RTP4/MVP/OAS3/IRF7/IFI44L/PLSCR1/HELZ2/CDKN1A/SERPING1/IFIT3/MT2A/STAT2/PFKP/BST2/CD274/MYD88/ZBP1/TAP1/IFIH1/RBCK1/IL10RA/TNFSF10/PSMB2/ST3GAL5/APOL6/TRIM14/UPP1/IL18BP/CMPK2/NAMPT/IRF4/TNFAIP2/STAT1/SOCS3/DHX58/LAP3/ZNFX1/PML/NLRC5/HERC6/IFITM2/IFI27/STAT3	GSEA
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	157	0.56519507806092	1.60000385158571	0.0026980952877458	0.0120564979497841	0.00660992212159216	1529	tags=25%, list=12%, signal=23%	FMO3/NQO1/ABCD2/ID2/TMEM97/CYB5A/PGD/FAS/POR/IDH1/COMT/AHCY/SAR1B/MT2A/NINJ1/CBR1/BLVRB/NPC1/CA2/ECH1/CNDP2/NFS1/UPP1/PC/UGDH/GSS/ASL/ETS2/ACP2/PGRMC1/SLC35B1/TNFRSF1A/HMOX1/SLC12A4/ACOX1/DCXR/PEMT/PYCR1/GABARAPL1/ALDH2	GSEA
